,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
73,L,299.0,309.1,1592,35.0,200,0,No Failure
74,L,298.9,309.0,1601,32.3,202,0,No Failure
75,L,298.8,308.9,1379,46.7,204,0,No Failure
76,L,298.8,308.9,1461,47.9,206,0,No Failure
77,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
78,L,298.8,308.9,1398,51.5,0,0,No Failure
79,L,298.8,308.9,1402,37.9,2,0,No Failure
80,H,298.8,308.8,1445,49.9,4,0,No Failure
81,L,298.9,308.9,1450,47.5,9,0,No Failure
82,L,298.9,308.9,1453,40.8,11,0,No Failure
83,L,299.0,309.0,1469,40.1,13,0,No Failure
84,L,298.9,308.9,1422,47.6,15,0,No Failure
85,M,299.0,309.0,1804,26.8,17,0,No Failure
86,H,299.0,309.0,1436,43.9,20,0,No Failure
87,L,299.0,309.0,1544,31.8,25,0,No Failure
88,M,299.0,309.0,1419,45.2,27,0,No Failure
89,M,298.9,308.9,1487,39.5,30,0,No Failure
90,L,298.9,308.9,1753,25.8,33,0,No Failure
91,L,298.9,308.9,1830,24.9,35,0,No Failure
92,M,298.9,308.9,1727,27.1,37,0,No Failure
93,L,299.1,309.0,1450,43.0,40,0,No Failure
94,L,299.0,308.9,1622,31.9,42,0,No Failure
95,M,299.0,309.0,1351,52.2,44,0,No Failure
96,M,299.0,309.0,1575,35.3,47,0,No Failure
97,M,298.9,308.9,1750,29.9,50,0,No Failure
98,L,298.9,308.8,1529,32.7,53,0,No Failure
99,L,298.8,308.8,1523,44.4,55,0,No Failure
100,L,298.8,308.9,1852,25.0,57,0,No Failure
101,L,298.8,308.8,1991,20.7,59,0,No Failure
102,L,298.8,308.8,1555,40.6,61,0,No Failure
103,M,298.8,308.8,1441,40.5,63,0,No Failure
104,L,298.8,308.7,1450,43.4,66,0,No Failure
105,L,298.8,308.7,1591,31.1,68,0,No Failure
106,L,298.8,308.7,1445,48.5,70,0,No Failure
107,M,298.8,308.8,1497,46.8,72,0,No Failure
108,H,298.9,308.8,1621,32.7,75,0,No Failure
109,L,298.9,308.7,1572,34.1,80,0,No Failure
110,L,298.8,308.6,1872,22.5,82,0,No Failure
111,H,298.7,308.6,1499,43.5,84,0,No Failure
112,M,298.8,308.7,1498,39.5,89,0,No Failure
113,M,298.8,308.6,1486,41.9,92,0,No Failure
114,L,298.8,308.6,1680,29.4,95,0,No Failure
115,L,298.8,308.6,1431,45.7,97,0,No Failure
116,L,298.9,308.7,1564,34.1,99,0,No Failure
117,L,298.8,308.6,1599,33.0,101,0,No Failure
118,M,298.8,308.6,1707,28.1,103,0,No Failure
119,L,298.7,308.5,1467,40.7,106,0,No Failure
120,L,298.9,308.7,1433,44.7,108,0,No Failure
121,L,298.9,308.7,1558,41.2,110,0,No Failure
122,L,299.0,308.8,1310,50.7,112,0,No Failure
123,L,298.9,308.7,1546,43.4,114,0,No Failure
124,L,298.9,308.7,1727,29.4,116,0,No Failure
125,L,298.9,308.6,1560,32.2,118,0,No Failure
126,L,299.0,308.6,1329,60.5,120,0,No Failure
127,L,298.9,308.6,1413,46.5,122,0,No Failure
128,L,299.0,308.6,1587,38.6,124,0,No Failure
129,L,298.9,308.5,1559,34.3,126,0,No Failure
130,L,298.8,308.4,1473,41.1,128,0,No Failure
131,L,298.8,308.4,1737,27.7,130,0,No Failure
132,M,298.7,308.4,1441,43.2,132,0,No Failure
133,M,298.7,308.4,1430,49.6,135,0,No Failure
134,L,298.8,308.4,1369,53.0,138,0,No Failure
135,M,298.8,308.5,1711,28.5,140,0,No Failure
136,H,298.7,308.5,1420,45.7,143,0,No Failure
137,L,298.7,308.6,1297,55.3,148,0,No Failure
138,H,298.8,308.6,1449,49.4,150,0,No Failure
139,L,298.8,308.6,1268,55.8,155,0,No Failure
140,L,298.8,308.6,1511,36.1,157,0,No Failure
141,L,298.7,308.5,1544,35.2,159,0,No Failure
142,M,298.6,308.4,1778,28.2,161,0,No Failure
143,H,298.6,308.4,1407,50.5,164,0,No Failure
144,M,298.6,308.4,1391,42.4,169,0,No Failure
145,L,298.5,308.4,1513,33.6,172,0,No Failure
146,H,298.5,308.4,1612,36.1,174,0,No Failure
147,L,298.4,308.4,1515,40.1,179,0,No Failure
148,M,298.3,308.3,1379,48.0,181,0,No Failure
149,L,298.4,308.3,1473,39.9,184,0,No Failure
150,L,298.4,308.3,1422,42.7,186,0,No Failure
151,M,298.4,308.2,1463,37.6,188,0,No Failure
152,M,298.4,308.2,1584,41.0,191,0,No Failure
153,L,298.4,308.2,1850,27.0,194,0,No Failure
154,L,298.4,308.2,1528,36.2,196,0,No Failure
155,H,298.4,308.2,1987,19.8,198,0,No Failure
156,M,298.4,308.1,1495,46.0,203,0,No Failure
157,H,298.4,308.2,1478,43.5,206,0,No Failure
158,M,298.4,308.2,1499,40.0,211,0,No Failure
159,L,298.4,308.2,1471,47.0,214,0,No Failure
160,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
161,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
162,L,298.3,308.1,1586,35.5,0,0,No Failure
163,M,298.4,308.2,1468,43.8,2,0,No Failure
164,M,298.5,308.3,1440,43.6,5,0,No Failure
165,L,298.5,308.4,1733,26.0,8,0,No Failure
166,H,298.4,308.2,1612,32.6,10,0,No Failure
167,H,298.4,308.3,1458,42.9,15,0,No Failure
168,L,298.4,308.3,1433,62.3,20,1,Power Failure
169,L,298.4,308.3,1318,59.1,22,0,No Failure
170,M,298.4,308.2,1610,35.0,24,0,No Failure
171,L,298.2,308.1,1462,50.8,27,0,No Failure
172,M,298.1,308.0,1924,20.8,29,0,No Failure
173,M,298.2,308.0,1591,33.7,32,0,No Failure
174,L,298.2,308.1,1306,58.3,35,0,No Failure
175,L,298.2,308.1,1382,43.5,37,0,No Failure
176,L,298.2,308.1,1618,34.7,39,0,No Failure
177,L,298.2,308.2,1988,21.4,41,0,No Failure
178,L,298.2,308.2,1436,50.2,43,0,No Failure
179,L,298.2,308.3,1304,49.8,45,0,No Failure
180,L,298.2,308.3,1475,49.9,47,0,No Failure
181,H,298.2,308.3,1824,24.2,49,0,No Failure
182,M,298.1,308.2,1342,48.1,54,0,No Failure
183,L,298.1,308.2,1485,40.7,57,0,No Failure
184,L,298.2,308.2,1667,30.6,59,0,No Failure
185,L,298.2,308.2,1446,38.2,61,0,No Failure
186,L,298.1,308.3,1301,56.0,63,0,No Failure
187,L,298.2,308.4,1379,43.1,65,0,No Failure
188,L,298.3,308.5,1606,33.6,67,0,No Failure
189,M,298.3,308.4,1539,43.4,69,0,No Failure
190,L,298.2,308.4,1477,49.9,72,0,No Failure
191,L,298.2,308.4,1666,34.6,74,0,No Failure
192,H,298.2,308.4,1398,51.8,76,0,No Failure
193,H,298.2,308.4,1678,34.6,81,0,No Failure
194,M,298.2,308.5,2678,10.7,86,1,Power Failure
195,L,298.3,308.5,1453,42.9,89,0,No Failure
196,H,298.3,308.6,1432,49.5,91,0,No Failure
197,M,298.4,308.6,1527,40.9,96,0,No Failure
198,L,298.4,308.7,1588,35.0,99,0,No Failure
199,L,298.4,308.6,1433,47.1,101,0,No Failure
200,L,298.4,308.6,1609,35.0,103,0,No Failure
201,L,298.3,308.5,1575,41.2,105,0,No Failure
202,M,298.4,308.5,1636,35.7,107,0,No Failure
203,L,298.4,308.5,1490,37.9,110,0,No Failure
204,L,298.4,308.5,1741,32.8,112,0,No Failure
205,M,298.5,308.6,1344,53.0,114,0,No Failure
206,L,298.5,308.7,1609,35.3,117,0,No Failure
207,M,298.4,308.7,1421,60.7,119,1,Power Failure
208,L,298.4,308.6,1591,36.7,122,0,No Failure
209,L,298.4,308.6,1477,44.0,124,0,No Failure
210,L,298.4,308.7,1523,36.1,126,0,No Failure
211,L,298.5,308.7,1575,33.9,128,0,No Failure
212,H,298.4,308.7,1344,52.9,130,0,No Failure
213,L,298.4,308.7,1386,44.9,135,0,No Failure
214,M,298.3,308.6,1589,37.1,137,0,No Failure
215,L,298.3,308.6,1548,40.3,140,0,No Failure
216,L,298.3,308.6,1499,38.3,142,0,No Failure
217,L,298.3,308.5,1664,31.6,144,0,No Failure
218,L,298.3,308.6,1447,38.1,146,0,No Failure
219,M,298.3,308.5,1434,46.2,148,0,No Failure
220,L,298.3,308.5,1416,52.7,151,0,No Failure
221,H,298.4,308.5,1827,24.3,153,0,No Failure
222,L,298.4,308.6,1304,45.0,158,0,No Failure
223,L,298.4,308.6,1569,34.4,160,0,No Failure
224,L,298.3,308.6,1584,29.3,162,0,No Failure
225,L,298.3,308.5,1362,53.8,164,0,No Failure
226,L,298.3,308.4,1329,49.2,166,0,No Failure
227,L,298.3,308.5,1539,36.1,168,0,No Failure
228,M,298.3,308.5,1629,37.1,170,0,No Failure
229,L,298.3,308.5,1538,32.2,173,0,No Failure
230,L,298.3,308.6,1570,34.8,175,0,No Failure
231,L,298.3,308.4,1408,43.1,177,0,No Failure
232,L,298.2,308.4,1424,47.6,179,0,No Failure
233,L,298.2,308.4,1512,34.9,181,0,No Failure
234,L,298.2,308.4,1478,42.9,183,0,No Failure
235,M,298.1,308.3,1680,33.7,185,0,No Failure
236,L,298.1,308.3,1495,38.7,188,0,No Failure
237,M,298.0,308.1,1552,36.6,190,0,No Failure
238,L,297.9,308.1,1393,50.3,193,0,No Failure
239,L,298.0,308.2,1611,30.6,195,0,No Failure
240,M,298.0,308.1,1339,51.6,197,0,No Failure
241,L,298.0,308.1,1777,24.3,200,0,No Failure
242,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure
243,L,298.0,308.2,1442,44.1,204,0,No Failure
244,M,298.0,308.2,1395,49.1,206,0,No Failure
245,M,297.9,308.1,1627,31.4,209,0,No Failure
246,L,297.9,308.1,1585,33.5,212,0,No Failure
247,L,298.0,308.2,1469,45.5,214,0,No Failure
248,L,298.0,308.3,1362,56.8,216,1,Overstrain Failure
249,L,298.0,308.3,1405,56.2,218,1,Overstrain Failure
250,L,298.0,308.3,1662,32.7,0,0,No Failure
251,M,298.0,308.2,1466,42.6,2,0,No Failure
252,L,298.0,308.2,1620,35.8,5,0,No Failure
253,L,298.0,308.2,1357,48.2,7,0,No Failure
254,L,298.0,308.2,1514,37.9,9,0,No Failure
255,L,298.0,308.2,1489,40.4,11,0,No Failure
256,L,298.1,308.3,1331,63.0,13,0,No Failure
257,L,298.0,308.0,1615,29.5,15,0,No Failure
258,L,298.1,308.2,1482,37.9,17,0,No Failure
259,M,298.1,308.2,1420,63.9,19,1,Power Failure
260,M,298.2,308.3,1522,49.1,22,0,No Failure
261,L,298.1,308.2,1654,32.1,25,0,No Failure
262,M,298.1,308.2,1736,26.8,27,0,No Failure
263,M,298.0,308.1,1587,32.3,30,0,No Failure
264,L,298.1,308.2,1390,47.5,33,0,No Failure
265,L,298.0,308.1,1454,37.1,35,0,No Failure
266,H,298.0,308.1,1440,43.7,37,0,No Failure
267,L,297.9,308.0,1954,21.1,42,0,No Failure
268,H,297.9,308.0,1800,24.8,44,0,No Failure
269,L,298.0,308.0,1524,37.0,49,0,No Failure
270,H,298.0,308.0,1520,39.6,51,0,No Failure
271,M,298.1,308.1,1452,40.8,56,0,No Failure
272,L,298.1,308.1,1484,40.4,59,0,No Failure
273,L,298.1,308.0,1426,46.0,61,0,No Failure
274,L,298.1,308.0,1652,28.5,63,0,No Failure
275,L,298.0,308.0,1401,54.7,65,0,No Failure
276,M,298.0,307.9,1750,26.6,67,0,No Failure
277,H,298.0,308.0,1479,50.7,70,0,No Failure
278,M,298.0,308.0,1620,29.4,75,0,No Failure
279,L,298.0,308.1,1819,23.4,78,0,No Failure
280,M,298.1,308.1,1456,43.7,80,0,No Failure
281,L,298.1,308.0,1626,36.5,83,0,No Failure
282,M,298.1,308.1,1390,49.8,85,0,No Failure
283,L,298.2,308.2,1469,43.0,88,0,No Failure
284,L,298.2,308.3,2051,19.2,90,0,No Failure
285,L,298.2,308.3,1568,36.0,92,0,No Failure
286,L,298.2,308.3,1589,33.2,94,0,No Failure
287,L,298.2,308.3,1805,31.6,96,0,No Failure
288,H,298.2,308.4,1385,42.2,98,0,No Failure
289,L,298.1,308.4,1436,46.7,103,0,No Failure
290,L,298.1,308.4,1438,45.6,105,0,No Failure
291,L,298.0,308.3,1473,42.6,107,0,No Failure
292,L,298.1,308.4,1335,40.2,109,0,No Failure
293,H,298.1,308.5,1392,44.8,111,0,No Failure
294,M,298.1,308.5,1372,51.1,116,0,No Failure
295,M,298.1,308.6,1716,30.7,119,0,No Failure
296,L,298.0,308.5,1395,46.2,122,0,No Failure
297,L,298.0,308.5,1713,25.3,124,0,No Failure
298,H,297.9,308.5,2129,18.7,126,0,No Failure
299,M,297.8,308.3,1567,35.6,131,0,No Failure
300,L,297.8,308.4,1622,38.3,134,0,No Failure
301,L,297.7,308.4,1740,27.1,136,0,No Failure
302,H,297.8,308.4,1512,35.1,138,0,No Failure
303,M,297.8,308.4,1479,43.5,143,0,No Failure
304,L,297.8,308.4,1737,27.5,146,0,No Failure
305,L,297.8,308.4,2129,19.2,148,0,No Failure
306,L,297.8,308.4,1374,47.1,150,0,No Failure
307,M,297.8,308.4,1579,36.6,152,0,No Failure
308,L,297.9,308.5,1305,47.2,155,0,No Failure
309,M,297.9,308.5,1449,40.8,157,0,No Failure
310,H,298.0,308.6,1526,41.8,160,0,No Failure
311,M,298.0,308.6,1453,44.1,165,0,No Failure
312,L,297.9,308.6,1468,36.0,168,0,No Failure
313,L,298.0,308.6,1313,50.8,170,0,No Failure
314,M,297.9,308.5,1300,53.0,172,0,No Failure
315,L,297.9,308.4,1646,40.6,175,0,No Failure
316,L,297.8,308.4,1714,33.2,177,0,No Failure
317,L,297.8,308.4,1685,28.4,179,0,No Failure
318,L,297.8,308.4,1512,39.9,181,0,No Failure
319,L,297.8,308.4,1612,32.1,183,0,No Failure
320,H,297.8,308.4,1550,38.2,185,0,No Failure
321,L,297.8,308.4,1518,32.5,190,0,No Failure
322,L,297.8,308.5,1448,40.0,192,0,No Failure
323,L,297.8,308.5,1561,46.3,194,0,No Failure
324,M,297.8,308.5,1488,41.9,196,0,No Failure
325,L,297.8,308.5,1699,27.8,199,0,No Failure
326,L,297.7,308.5,1501,41.4,201,0,No Failure
327,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
328,H,297.6,308.4,1703,31.4,205,0,No Failure
329,H,297.7,308.5,1720,29.9,210,0,No Failure
330,M,297.6,308.4,1398,41.9,215,0,No Failure
331,M,297.6,308.4,1391,51.9,218,0,No Failure
332,M,297.6,308.3,1538,40.2,0,0,No Failure
333,L,297.5,308.2,1647,31.3,3,0,No Failure
334,M,297.5,308.1,1469,44.8,5,0,No Failure
335,L,297.4,308.1,1749,25.9,8,0,No Failure
336,M,297.6,308.2,1995,20.5,10,0,No Failure
337,L,297.6,308.3,1742,27.7,13,0,No Failure
338,L,297.5,308.2,1563,38.2,15,0,No Failure
339,M,297.5,308.2,1713,32.2,17,0,No Failure
340,L,297.4,308.1,1474,39.4,20,0,No Failure
341,M,297.4,308.2,1530,32.6,22,0,No Failure
342,L,297.4,308.2,1471,46.5,25,0,No Failure
343,L,297.5,308.3,1388,48.6,27,0,No Failure
344,M,297.5,308.2,2448,13.8,29,0,No Failure
345,L,297.5,308.3,1585,32.9,32,0,No Failure
346,M,297.5,308.3,1459,45.2,34,0,No Failure
347,L,297.5,308.3,1544,40.8,37,0,No Failure
348,L,297.6,308.3,1617,31.7,39,0,No Failure
349,L,297.6,308.3,1595,34.3,41,0,No Failure
350,H,297.6,308.3,1400,44.3,43,0,No Failure
351,M,297.6,308.4,1611,31.0,48,0,No Failure
352,M,297.6,308.4,1507,46.0,51,0,No Failure
353,H,297.5,308.3,1674,30.0,54,0,No Failure
354,L,297.6,308.3,1658,34.3,59,0,No Failure
355,L,297.6,308.3,1623,36.9,61,0,No Failure
356,M,297.6,308.4,1398,48.9,63,0,No Failure
357,L,297.6,308.4,1517,34.2,66,0,No Failure
358,M,297.6,308.3,1467,36.7,68,0,No Failure
359,M,297.6,308.3,1567,34.6,71,0,No Failure
360,M,297.5,308.3,1521,38.2,74,0,No Failure
361,L,297.5,308.3,1596,36.8,77,0,No Failure
362,H,297.6,308.3,1640,30.9,79,0,No Failure
363,L,297.6,308.3,1438,47.8,84,0,No Failure
364,L,297.6,308.4,1407,55.2,86,0,No Failure
365,L,297.6,308.4,1353,57.5,88,0,No Failure
366,M,297.6,308.5,1552,40.9,90,0,No Failure
367,M,297.6,308.4,1569,38.3,93,0,No Failure
368,L,297.5,308.4,1489,39.5,96,0,No Failure
369,H,297.5,308.4,1587,36.1,98,0,No Failure
370,M,297.5,308.3,1622,37.2,103,0,No Failure
371,L,297.5,308.4,1604,38.1,106,0,No Failure
372,M,297.4,308.3,1405,51.7,108,0,No Failure
373,L,297.4,308.3,1412,42.0,111,0,No Failure
374,L,297.4,308.3,1431,43.0,113,0,No Failure
375,L,297.4,308.2,1533,37.4,115,0,No Failure
376,M,297.4,308.2,1401,51.9,117,0,No Failure
377,M,297.4,308.2,1424,53.9,120,0,No Failure
378,L,297.3,308.2,1754,29.4,123,0,No Failure
379,L,297.3,308.2,1754,26.8,125,0,No Failure
380,L,297.5,308.3,2564,12.8,127,1,Power Failure
381,L,297.5,308.5,1546,40.4,129,0,No Failure
382,L,297.5,308.5,1335,48.0,131,0,No Failure
383,M,297.5,308.6,1842,27.0,133,0,No Failure
384,L,297.5,308.5,1712,26.8,136,0,No Failure
385,M,297.6,308.6,1414,45.4,138,0,No Failure
386,L,297.6,308.7,1319,50.9,141,0,No Failure
387,L,297.7,308.7,1249,60.4,143,0,No Failure
388,L,297.6,308.7,1455,48.2,145,0,No Failure
389,M,297.6,308.7,1408,54.8,147,0,No Failure
390,L,297.6,308.7,1460,46.7,150,0,No Failure
391,L,297.6,308.6,1491,38.1,152,0,No Failure
392,M,297.6,308.5,1490,43.4,154,0,No Failure
393,M,297.5,308.4,1350,52.2,157,0,No Failure
394,L,297.5,308.4,1528,39.9,160,0,No Failure
395,L,297.4,308.3,1571,37.7,162,0,No Failure
396,L,297.4,308.3,1490,42.6,164,0,No Failure
397,M,297.4,308.3,1774,28.9,166,0,No Failure
398,H,297.4,308.3,1502,43.6,169,0,No Failure
399,L,297.4,308.4,1392,49.7,174,0,No Failure
400,L,297.4,308.5,2100,16.9,176,0,No Failure
401,L,297.5,308.5,1722,30.4,178,0,No Failure
402,L,297.4,308.6,1678,32.3,180,0,No Failure
403,L,297.3,308.6,1273,59.8,182,0,No Failure
404,L,297.3,308.6,1297,45.9,184,0,No Failure
405,L,297.3,308.5,1350,57.6,186,0,No Failure
406,L,297.4,308.6,1439,51.9,188,0,No Failure
407,M,297.4,308.5,1600,42.1,190,0,No Failure
408,M,297.4,308.6,1434,44.4,193,0,No Failure
409,L,297.4,308.6,1459,41.3,196,0,No Failure
410,M,297.5,308.6,1472,44.9,198,0,No Failure
411,L,297.5,308.7,1429,44.3,201,0,No Failure
412,L,297.5,308.6,1388,48.2,203,0,No Failure
413,L,297.4,308.4,1573,34.5,205,0,No Failure
414,L,297.4,308.4,1588,32.5,207,0,No Failure
415,L,297.5,308.4,1511,42.8,209,0,No Failure
416,L,297.4,308.5,1495,37.8,211,0,No Failure
417,L,297.4,308.4,1394,50.1,213,0,No Failure
418,L,297.4,308.4,2151,17.7,0,0,No Failure
419,M,297.3,308.3,1501,38.2,2,0,No Failure
420,M,297.3,308.3,1301,39.6,5,0,No Failure
421,M,297.3,308.3,1657,31.1,8,0,No Failure
422,L,297.3,308.3,1333,55.2,11,0,No Failure
423,L,297.3,308.3,1484,43.9,13,0,No Failure
424,L,297.3,308.4,1430,45.7,15,0,No Failure
425,M,297.3,308.4,1665,28.9,17,0,No Failure
426,L,297.4,308.5,1501,44.9,20,0,No Failure
427,M,297.5,308.5,1496,42.2,22,0,No Failure
428,M,297.6,308.6,1595,36.9,25,0,No Failure
429,L,297.5,308.6,1208,62.3,28,0,No Failure
430,L,297.5,308.6,1596,37.1,30,0,No Failure
431,L,297.5,308.5,1446,41.9,32,0,No Failure
432,M,297.6,308.5,1466,39.7,34,0,No Failure
433,M,297.6,308.5,1848,23.7,37,0,No Failure
434,M,297.5,308.5,1484,44.7,40,0,No Failure
435,L,297.4,308.3,1493,41.2,43,0,No Failure
436,L,297.3,308.3,1504,36.3,45,0,No Failure
437,L,297.3,308.3,1538,38.5,47,0,No Failure
438,L,297.4,308.4,1341,52.2,49,0,No Failure
439,M,297.4,308.3,1535,34.6,51,0,No Failure
440,L,297.4,308.5,1389,39.2,54,0,No Failure
441,H,297.5,308.5,1393,46.6,56,0,No Failure
442,L,297.4,308.5,1399,61.5,61,1,Power Failure
443,H,297.4,308.5,1469,45.1,63,0,No Failure
444,L,297.4,308.4,1582,37.2,68,0,No Failure
445,L,297.5,308.6,1793,26.7,70,0,No Failure
446,L,297.5,308.6,1452,39.0,72,0,No Failure
447,M,297.6,308.7,1376,59.9,74,0,No Failure
448,L,297.5,308.6,1552,44.9,77,0,No Failure
449,L,297.6,308.7,1622,37.9,79,0,No Failure
450,M,297.6,308.7,1419,41.7,81,0,No Failure
451,H,297.5,308.6,1440,46.1,84,0,No Failure
452,M,297.4,308.6,1643,31.0,89,0,No Failure
453,L,297.4,308.7,1510,36.2,92,0,No Failure
454,L,297.4,308.7,1468,46.6,94,0,No Failure
455,L,297.4,308.7,1429,57.4,96,0,No Failure
456,H,297.3,308.7,1478,47.6,98,0,No Failure
457,L,297.4,308.6,1276,53.6,103,0,No Failure
458,L,297.3,308.6,1486,42.6,105,0,No Failure
459,L,297.4,308.6,1476,42.3,107,0,No Failure
460,H,297.3,308.6,1431,42.0,109,0,No Failure
461,L,297.4,308.7,1402,40.2,114,0,No Failure
462,L,297.4,308.7,1433,43.4,116,0,No Failure
463,L,297.4,308.7,2874,4.2,118,1,Power Failure
464,L,297.3,308.6,1511,35.7,120,0,No Failure
465,M,297.3,308.6,1456,42.9,122,0,No Failure
466,L,297.2,308.5,1550,41.5,125,0,No Failure
467,L,297.2,308.5,2182,16.5,127,0,No Failure
468,L,297.3,308.7,1619,31.6,129,0,No Failure
469,M,297.3,308.8,1586,32.7,131,0,No Failure
470,H,297.3,308.8,1499,44.2,134,0,No Failure
471,H,297.3,308.8,1419,42.4,139,0,No Failure
472,M,297.4,309.0,1497,41.8,144,0,No Failure
473,M,297.4,309.0,1520,37.0,147,0,No Failure
474,L,297.4,309.1,1478,49.8,150,0,No Failure
475,L,297.4,309.1,1380,41.1,152,0,No Failure
476,L,297.4,309.0,1570,37.9,154,0,No Failure
477,H,297.4,309.0,1468,41.4,156,0,No Failure
478,L,297.4,309.0,1833,22.6,161,0,No Failure
479,M,297.4,308.9,1323,57.3,163,0,No Failure
480,L,297.4,309.0,1583,32.0,166,0,No Failure
481,M,297.3,309.0,1556,39.5,168,0,No Failure
482,L,297.3,309.0,1548,37.4,171,0,No Failure
483,L,297.4,309.0,1324,56.9,173,0,No Failure
484,L,297.4,309.0,1568,33.7,175,0,No Failure
485,M,297.4,309.0,1685,30.7,177,0,No Failure
486,M,297.4,309.1,1582,35.9,180,0,No Failure
487,M,297.4,309.1,1463,35.0,183,0,No Failure
488,L,297.4,309.2,1584,42.8,186,0,No Failure
489,M,297.5,309.2,1347,55.8,188,0,No Failure
490,L,297.4,309.2,1459,37.9,191,0,No Failure
491,L,297.4,309.2,1420,45.6,193,0,No Failure
492,L,297.5,309.3,1404,43.5,195,0,No Failure
493,L,297.5,309.3,1470,38.8,197,0,No Failure
